,Cate,Cols,Id,Len,Name,Time
348,Housing & Development,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'staten island condominium property boro-block-lot', 'staten island condominium property condo section', 'staten island condominium property address', 'borough', 'postcode', 'latitude', 'longitude', 'community board', 'council district', 'census tract', 'bin', 'bbl', 'nta', 'staten island condominium property neighborhood', 'staten island condominium property building classification', 'staten island condominium property total units', 'staten island condominium property year built', 'staten island condominium property gross sqft', 'staten island condominium property est. gross income', 'staten island condominium property gross income per sqft', 'staten island condominium property full market value', 'staten island condominium property market value per sqft', ' comparable rental 1 boro-block-lot', 'comparable rental 1 address', 'comparable rental 1  neighborhood', 'comparable rental 1  building classification', 'comparable rental 1  total units', 'comparable rental 1  year built', 'comparable rental 1  gross sqft', 'comparable rental 1  est. gross income', 'comparable rental 1  gross income per sqft', 'comparable rental 1 full market value', 'comparable rental 1  market value per sqft', 'comparable rental 1  dist. from coop in miles', 'comparable rental 2  boro-block-lot', 'comparable rental 2  address', 'comparable rental 2  neighborhood', 'comparable rental 2  building classification', 'comparable rental 2  total units', 'comparable rental 2  year built', 'comparable rental 2  gross sqft', 'comparable rental 2  est. gross income', 'comparable rental 2  gross income per sqft', 'comparable rental 2  full market value', 'comparable rental 2  market value per sqft', 'comparable rental 2  dist. from coop in miles']",a5qt-5jpu,24.0,dof: condominium comparable rental income – staten island - fy 2010/2011,1317229655.0
349,City Government,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'taxomony_id', 'name', 'parent_id', 'parent_name']",a6kg-wufg,262.0,verified locations for nyc city-funded social service contracts (taxomony),1522084214.0
350,NYC BigApps,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'building_id', 'borough', 'certification class', '# of carriers', 'coax/cable connections', 'fiber connection', 'satellite/fixed wireless connection', 'fiber distribution', '# isps', 'multiple points of entry', 'designated telecom utility space', 'additional telecom space', 'riser space for current providers', 'riser space for additional providers', 'diverse riser locations', 'signed poes', 'agreements', 'new service providers', 'isps']",a6nj-cfbz,323.0,wirednyc – all buildings data,1402671942.0
351,City Government,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'agency', 'pmmr goal', 'critical', 'performance indicator', 'actual fy14', 'actual fy15', 'actual fy16', 'target fy17', 'target fy18', '4-month actual fy16', '4-month actual fy17']",a6zp-tcs3,2284.0,fy 2017 pmmr data extract,1486147428.0
352,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'program type', 'program', 'site name', 'borough / community', 'agency', 'contact number', 'grade level / age group ', 'location 1', 'postcode', 'latitude', 'longitude', 'community board', 'council district', 'census tract', 'bin', 'bbl', 'nta']",a8rp-fpnn,10.0,dycd after-school programs: adolescent literacy,1314989961.0
353,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'existing site identified', 'proposed leased facility', 'district', 'project #', 'school', 'boro', 'forecast capacity', 'design start', 'constr start', 'actual /est.compl', 'total est.cost', 'previousappropriations', ""fundingreq'dfy 15-19"", 'needed tocomplete']",a94k-kjys,88.0,capacity projects  by schools,1464731313.0
354,Health,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'family size', 'yearly income', 'monthly income', 'weekly income']",a9es-3fcm,7.0,family planning benefit program income levels,1363712556.0
355,Environment,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'sample site ', 'sample date', 'ph †(unit)', 'alkalinity (mg/l caco3)', 'calcium (mg/l)', 'specific conductance ( µs/cm)', ' temperature † (°f)', 'ortho-phosphate †† (mg/l)', 'lead (µg/l)', 'copper (mg/l)']",aa5e-digs,4215.0,entry point lcr monitoring results,1424802350.0
356,Housing & Development,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'neighborhood', 'type of home', 'number of sales', 'lowest sale price', 'average sale price', 'median sale price', 'highest sale price']",aa5u-mys6,155.0,"dof: summary of neighborhood sales in queens for class 1-, 2- and 3-family homes - 2008",1317847497.0
357,City Government,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'agency', 'resource indicators', 'fy14 actual', 'fy15 actual', 'fy16 actual', 'fy17 (sept. 2016 mmr plan)', 'fy17 updated plan from jan. 2017 financial plan', 'fy18 plan from jan. 2017 financial plan', 'fy16 4-month actual', 'fy17 4-month actual', 'includes all funds', 'notes']",aagv-t6fa,200.0,fy17 pmmr agency resources,1486421077.0
358,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'grade ', 'program type', 'core subject (ms core and 9-12 only)', 'core course (ms core and 9-12 only)', 'service category(k-9* only)', 'number of students / seats filled', 'number of sections', 'average class size']",abgn-8q46,154.0,2010-2011 class size - citywide summary,1318616213.0
359,Housing & Development,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'developerselectiondwid', 'projectid', 'method', 'rfpname', 'rfqname', 'isdeveloperprequalified']",abnr-s7g4,522.0,local law 44 - developer selection,1512591622.0
360,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'fiscal_year', 'ats system code', 'location_code', 'location_name', 'beds number', 'managed_by_name', 'location_type_description', 'location_category_description', 'grades_text', 'grades_final_text', 'open_date', 'status_descriptions', 'primary_building_code', 'primary_address_line_1', 'state_code', 'x_coordinate', 'y_coordinate', 'community_district', 'council_district', 'census_tract', 'borough_block_lot', 'nta', 'nta_name', 'principal_name', 'principal_title', 'principal_phone_number', 'fax_number', 'geographical_district_code', 'admin_district_location_code', 'administrative_district_name', 'community_school_sup_name', 'field_support_center_name', 'field_support_center_leader_name', 'school_support_team_name', 'school_support_team_leader_name', 'highschool_network_location_code', 'highschool_network_name', 'highschool_network_superintendent', 'location 1']",ac4n-c5re,1819.0,2013 - 2014 school locations,1505387928.0
361,Housing & Development,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'manhattan condominium property boro-block-lot', 'manhattan condominium property condo section', 'manhattan condominium property address', 'borough', 'postcode', 'latitude', 'longitude', 'community board', 'council district', 'census tract', 'bin', 'bbl', 'nta', 'manhattan condominium property neighborhood', 'manhattan condominium property building classification', 'manhattan condominium property total units', 'manhattan condominium property year built', 'manhattan condominium property gross sqft', 'manhattan condominium property est. gross income', 'manhattan condominium property gross income per sqft', 'manhattan condominium property full market value', 'manhattan condominium property market value per sqft', ' comparable rental 1 boro-block-lot', 'comparable rental 1 address', 'comparable rental 1  neighborhood', 'comparable rental 1  building classification', 'comparable rental 1  total units', 'comparable rental 1  year built', 'comparable rental 1  gross sqft', 'comparable rental 1  est. gross income', 'comparable rental 1  gross income per sqft', 'comparable rental 1 full market value', 'comparable rental 1  market value per sqft', 'comparable rental 1  dist. from coop in miles', 'comparable rental 2  boro-block-lot', 'comparable rental 2  address', 'comparable rental 2  neighborhood', 'comparable rental 2  building classification', 'comparable rental 2  total units', 'comparable rental 2  year built', 'comparable rental 2  gross sqft', 'comparable rental 2  est. gross income', 'comparable rental 2  gross income per sqft', 'comparable rental 2  full market value', 'comparable rental 2  market value per sqft', 'comparable rental 2  dist. from coop in miles']",ad4c-mphb,1068.0,dof: condominium comparable rental income – manhattan – fy 2009/2010,1317307097.0
362,Transportation,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'id', 'segment id', 'roadway name', 'from', 'to', 'direction', 'date', 'veh class type', '12:00-1:00 am', '1:00-2:00am', '2:00-3:00am', '3:00-4:00am', '4:00-5:00am', '5:00-6:00am', '6:00-7:00am', '7:00-8:00am', '8:00-9:00am', '9:00-10:00am', '10:00-11:00am', '11:00-12:00pm', '12:00-1:00pm', '1:00-2:00pm', '2:00-3:00pm', '3:00-4:00pm', '4:00-5:00pm', '5:00-6:00pm', '6:00-7:00pm', '7:00-8:00pm', '8:00-9:00pm', '9:00-10:00pm', '10:00-11:00pm', '11:00-12:00am']",ae5u-upr6,3135.0,vehicle classification counts (2012-2013),1399564723.0
363,Social Services,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'year', 'month', 'total self reported', 'new hires', 'total job placements', 'monthly percent change', 'yearly percent change']",afsf-hz68,259.0,credited job placement report,1369137411.0
364,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'fiscal_year', 'ats system code', 'location_code', 'location_name', 'beds number', 'managed_by_name', 'location_type_description', 'location_category_description', 'grades_text', 'grades_final_text', 'open_date', 'status_descriptions', 'primary_building_code', 'primary_address_line_1', 'state_code', 'x_coordinate', 'y_coordinate', 'community_district', 'council_district', 'census_tract', 'borough_block_lot', 'nta', 'nta_name', 'principal_name', 'principal_title', 'principal_phone_number', 'fax_number', 'geographical_district_code', 'admin_district_location_code', 'administrative_district_name', 'community_school_sup_name', 'field_support_center_name', 'field_support_center_leader_name', 'school_support_team_name', 'school_support_team_leader_name', 'highschool_network_location_code', 'highschool_network_name', 'highschool_network_superintendent', 'location 1']",ahjc-fdu3,1818.0,2016 - 2017 school locations,1505385961.0
365,Environment,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'propid', 'boro', 'community board', 'council district', 'garden name', 'address', 'size', 'jurisdiction', 'neighborhoodname', 'cross streets', 'latitude', 'longitude', 'postcode', 'census tract', 'bin', 'bbl', 'nta']",ajxm-kzmj,536.0,nyc greenthumb community gardens,1340816378.0
366,Social Services,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'program name', 'program description', 'program details', 'eligibility', 'locations', 'contact']",an6v-iuem,5.0,nycha resident jobs programs and training,1364499069.0
367,Public Safety,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'region', 'month', 'year', 'rate']",arhf-esqb,23.0,dop adult probationers rearrested as a percentage of nypd arrest report (monthly average),1470160318.0
368,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'district', 'grade level', 'category', 'average frequency per week of physical education instruction', 'average minutes per week of physical education instruction', '# of students who are receiving the required amount of physical education instruction', '% of students who are receiving the required amount of physical education instruction', '# of students who are receiving less than the required amount of physical education instruction', '% of students who are receiving less than the required amount of physical education instruction', '# of students who have an iep that recommends adaptive physical education', '% of students who have an iep that recommends adaptive physical education']",arzb-yfdv,4288.0,2015-2016 physical education - pe instruction - district level,1498515936.0
369,Health,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'disorder', 'percentage']",au2v-djg4,4.0,wtc disorders,1317408342.0
370,Transportation,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'schoolname', 'number', 'street', 'suiteapt', 'city', 'state', 'postcode', 'latitude', 'longitude', 'contact', 'telephone', 'email', 'web', 'languagesoffered', 'courseprice', 'examprice', 'date', 'time', 'location 1', 'community board', 'council district ', 'census tract', 'bin', 'bbl', 'nta', 'borough']",auuc-fqzi,2.0,tlc authorized behind the wheel providers,1477586906.0
371,Environment,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'heating or cooling degree days', 'calendar year', 'calendar year annual total', 'calendar year % change from previous year', 'calendar year % change from base year', 'fiscal year', 'fiscal year annual total', 'fiscal year % change from previous year', 'fiscal year % change from base year']",av3y-hmjv,26.0,inventory of new york city greenhouse gas emissions - heating and cooling degree days (2004-2016),1511538954.0
372,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'demographic', 'borough', 'cohort', 'total cohort', 'total grads - n', 'total grads - % of cohort', 'total regents - n', 'total regents - % of cohort', 'total regents - % of grads', 'advanced regents - n', 'advanced regents - % of cohort', 'advanced regents - % of grads', 'regents w/o advanced - n', 'regents w/o advanced - % of cohort', 'regents w/o advanced - % of grads', 'local - n', 'local - % of cohort', 'local - % of grads', 'still enrolled - n', 'still enrolled - % of cohort', 'dropped out - n', 'dropped out - % of cohort']",avir-tzek,385.0,2005-2010  graduation outcomes -  by borough,1318958957.0
373,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'dbn', 'school name', 'cohort year', 'cohort category', 'demographic', 'total cohort num', 'total grads num', 'total grads pct of cohort', 'total regents num', 'total regents pct of cohort', 'total regents pct of grads', 'advanced regents num', 'advanced regents pct of cohort', 'advanced regents pct of grads', 'regents w/o advanced num', 'regents w/o advanced pct of cohort', 'regents w/o advanced pct of grads', 'local num', 'local pct of cohort', 'local pct of grads', 'still enrolled num', 'still enrolled pct of cohort', 'dropped out num', 'dropped out pct of cohort']",avsi-2fp7,15055.0,2005 - 2011 graduation outcomes - school level - swd,1361414300.0
374,Public Safety,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'staten island', '2005', '2006', '2007', '2008', '2009', 'total']",axmw-6kmf,5.0,where incidents that led to a complaint took place by precinct - staten island 2005 - 2009,1317329655.0
375,Business,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'positiontitle', 'boroughbronx', 'boroughbrooklyn', 'boroughmanhattan', 'boroughqueens', 'boroughstatenisland', 'boroughnonnyc', 'sectorname', 'subsectorname', 'wagemin', 'wagemax', 'hourlyannual', 'positiondescription', 'candidateexperiencequalificationsskills', 'educationrequired', 'minhoursperweek', 'maxhoursperweek', 'leadfulfillmentcenter', 'jobfamilyname', 'sococcupationcode', 'sococcupationname', 'positiontype']",ay9k-vznm,198.0,workforce1 job listing,1436377213.0
376,Transportation,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'schoolname', 'number', 'name', 'unit', 'city', 'state', 'postcode', 'latitude', 'longitude', 'contact', 'telephone', 'email', 'web', 'date', 'time', 'location 1', 'borough', 'community board', 'council district', 'census tract', 'bin', 'bbl', 'nta']",ayeb-p4mv,25.0,tlc authorized wheelchair passenger assistance training providers,1477586897.0
377,City Government,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'borough', 'calendar year', 'client total']",az65-9z36,60.0,dop adult supervision intakes by calendar year,1396887668.0
378,Business,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'licensing office', 'month', 'customers served', 'average wait time', 'average transaction time', 'average satisfaction rating']",azp6-hepu,16.0,licensing center customer information,1453835403.0
379,Public Safety,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'year built', 'total units', 'estimate of percent of units with lbp', 'estimated units with lbp', 'lbp units occupied by families less than or equal to 50% of median', 'lbp units occupied by families less than or equal to 80% of median']",azyf-k3d6,4.0,lead based paint dwelling statistics,1360786638.0
380,Public Safety,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'team_name', 'cd_name', 'cd_number', 'team_total', 'cert_status', 'updated']",b2gb-nkrq,47.0,citizen emergency response team (cert),1401725972.0
381,City Government,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', '  name of borough', 'name of center', 'center address', 'postcode', 'telephone number', 'latitude', 'longitude', 'community board', 'council district ', 'census tract', 'bin', 'bbl', 'nta', 'borough']",b2sp-asbg,41.0,community health centers,1363717229.0
382,Recreation,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'type of abuse of authority allegation', 'substantiated number', 'sunstantiated rate', 'exonerated number', 'exonerated rate', 'unsubstantiated number', 'unsubstantiated rate', 'unfounded number', 'unfounded rate', 'officer unidentified number', 'officer unidentified rate', 'miscellaneous', 'miscellaneous rate']",b2y5-dstf,6.0,disposition of discourtesy allegations 2006,1317247966.0
383,Housing & Development,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'staten island – cooperatives comparable properties – boro-block-lot', 'staten island – cooperatives comparable properties – address', 'borough', 'postcode', 'latitude', 'longitude', 'community board', 'council district ', 'census tract', 'bin', 'bbl', 'nta', 'staten island – cooperatives comparable properties – neighborhood', 'staten island – cooperatives comparable properties – building classification', 'staten island – cooperatives comparable properties – total units', 'staten island – cooperatives comparable properties – year built', 'staten island – cooperatives comparable properties – gross sqft', 'staten island – cooperatives comparable properties – est. gross income', 'staten island – cooperatives comparable properties – gross income per sqft', 'staten island – cooperatives comparable properties – full market value', 'staten island – cooperatives comparable properties – market value per sqft', 'comparable rental – 1 –boro-block-lot', 'comparable rental – 1 –address', 'comparable rental – 1 –neighborhood', 'comparable rental – 1 –building classification', 'comparable rental – 1 –total units', 'comparable rental – 1 –year built', 'comparable rental – 1 –gross sqft', 'comparable rental – 1 –est. gross income', 'comparable rental – 1 –gross income per sqft', 'comparable rental – 1 –full market value', 'comparable rental – 1 –market value per sqft', 'comparable rental – 1 –dist. from coop in miles', 'comparable rental – 2 –boro-block-lot', 'comparable rental – 2 –address', 'comparable rental – 2 –neighborhood', 'comparable rental – 2 –building classification', 'comparable rental – 2 –total units', 'comparable rental – 2 –year built', 'comparable rental – 2 –gross sqft', 'comparable rental – 2 –est. gross income', 'comparable rental – 2 –gross income per sqft', 'comparable rental – 2 –full market value', 'comparable rental – 2 –market value per sqft', 'comparable rental – 2 –dist. from coop in miles']",b37b-brfu,24.0,dof: cooperative comparable rental income – staten island – fy 2010/2011,1317758745.0
384,Public Safety,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'housing programs', 'lead agencies', 'contact person', 'telephone number', 'fax number']",b3qc-c6fh,10.0,directory of lead agencies and housing programs,1360788098.0
385,Public Safety,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'type of abuse of authority allegation', 'substantiated number', 'sunstantiated rate', 'exonerated number', 'exonerated rate', 'unsubstantiated number', 'unsubstantiated rate', 'unfounded number', 'unfounded rate', 'officer unidentified number', 'officer unidentified rate', 'miscellaneous', 'miscellaneous rate']",b3wh-m425,31.0,disposition of abuse of authority allegations 2006,1317243752.0
386,Recreation,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'type of business', 'business type other', 'company name', 'company description', 'street address', 'apt  number', 'borough', 'postcode', 'business phone', 'contact name', 'contact title', 'contact phone', 'contact fax', 'location 1', 'latitude', 'longitude', 'community board', 'council district ', 'census tract', 'bin', 'bbl', 'nta']",b59s-jsgk,91.0,latin media organization map,1319480263.0
387,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'district', 'grade', 'year', 'category', 'number tested', 'mean scale score', 'level 1 #', 'level 1 %', 'level 2 #', 'level 2 %', 'level 3 #', 'level 3 %', 'level 4 #', 'level 4 %', 'level 3+4 #', 'level 3+4 %']",b9e9-2we4,2688.0,2006 - 2011 english language arts (ela) test results by grade - district - by disability status,1317846815.0
388,City Government,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'unique_key', 'account', 'opendate', 'complaint_type', 'descriptor', 'zip', 'borough', 'city', 'council_dist', 'community_board', 'closedate']",b9km-gdpy,161078.0,nyc council constituent services,1456348674.0
389,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'dbn', 'grade', 'year', 'demographic', 'number tested', 'mean scale score', 'num level 1', 'pct level 1', 'num level 2', 'pct level 2', 'num level 3', 'pct level 3', 'num level 4', 'pct level 4', 'num level 3 and 4', 'pct level 3 and 4']",b9uf-7skp,68028.0,2006 - 2012 math test results - school - gender,1361415652.0
390,Housing & Development,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'bronx condominium property boro-block-lot', 'bronx condominium property condo section', 'bronx condominium property address', 'borough', 'postcode', 'latitude', 'longitude', 'community board', 'council district', 'census tract', 'bin', 'bbl', 'nta', 'bronx condominium property neighborhood', 'bronx condominium property building classification', 'bronx condominium property total units', 'bronx condominium property year built', 'bronx condominium property gross sqft', 'bronx condominium property est. gross income', 'bronx condominium property gross income per sqft', 'bronx condominium property full market value', 'bronx condominium property market value per sqft', ' comparable rental 1 boro-block-lot', 'comparable rental 1 address', 'comparable rental 1  neighborhood', 'comparable rental 1  building classification', 'comparable rental 1  total units', 'comparable rental 1  year built', 'comparable rental 1  gross sqft', 'comparable rental 1  est. gross income', 'comparable rental 1  gross income per sqft', 'comparable rental 1 full market value', 'comparable rental 1  market value per sqft', 'comparable rental 1  dist. from coop in miles', 'comparable rental 2  boro-block-lot', 'comparable rental 2  address', 'comparable rental 2  neighborhood', 'comparable rental 2  building classification', 'comparable rental 2  total units', 'comparable rental 2  year built', 'comparable rental 2  gross sqft', 'comparable rental 2  est. gross income', 'comparable rental 2  gross income per sqft', 'comparable rental 2  full market value', 'comparable rental 2  market value per sqft', 'comparable rental 2  dist. from coop in miles']",bawj-6bgn,66.0,dof: condominium comparable rental income – bronx - fy 2010/2011,1317228506.0
391,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'dbn', 'location name', 'location category', 'administrative district', 'female removals', 'female principal', 'female superintendent', 'female expulsions', 'male removals', 'male principal', 'male superintendent', 'male expulsions']",bbg6-wf44,1743.0,2015-16 student discipline annual report - gender,1501868033.0
392,Public Safety,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'category', '2005 number', '2005 percent of total', '2006 number', '2006 percent of total', '2007 number', '2007 percent of total', '2008 number', '2008 percent of total', '2009 number', '2009 percent of total']",bbvw-ivc8,6.0,total allegations and total complaints received 2005 - 2009,1317326010.0
393,Public Safety,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'other bureaus', '2005', '2006', '2007', '2008', '2009', 'total']",bexe-qnej,14.0,ccrb: attribution of complaints to other bureaus 2005 - 2009,1315947725.0
394,City Government,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'year', 'abuse type', 'abuse count']",bfiu-cc7d,75.0,distribution of abuse of authority allegations,1361914941.0
395,Housing & Development,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'development name', 'borough', 'account name', 'location', 'meter amr', 'meter scope', 'tds #', 'edp', 'rc code', 'funding source', 'amp #', 'vendor name', 'umis bill id', 'revenue month', 'service start date', 'service end date', '# days', 'meter number', 'estimated', 'current charges', 'consumption (gal)']",bhwu-wuzu,7695.0,heating oil consumption and cost (2010 - november 2016),1468623098.0
396,City Government,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'vendor', 'waiver (partial/full)', 'percentage original', 'percentage after waiver', 'contract registration date']",bj6m-ydtj,6.0,mwbe waivers,1414287249.0
397,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'program name ', 'district', 'building id', 'school name', 'borough', 'constr.start fy', 'description']",bjmk-35w5,1376.0,current plan programs,1464731316.0
398,Environment,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'sample number', 'sample date', 'sample time', 'sample site', 'sample class', 'location', 'residual free chlorine (mg/l)', 'turbidity (ntu)', 'fluoride (mg/l)', 'coliform (quanti-tray) (mpn /100ml)', 'e.coli(quanti-tray) (mpn/100ml)']",bkwf-xfky,46029.0,drinking water quality distribution monitoring data,1424807820.0
399,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'dbn', 'location name', 'location category', 'administrative district', 'ell removals', 'ell principal', 'ell superintendent', 'ell expulsions', 'non-ell removals', 'non-ell principal', 'non-ell superintendent', 'non-ell expulsions']",bmhe-urrg,1743.0,2015 2016 student discipline annual report - ell,1502303408.0
400,Social Services,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'center name', 'borough', 'address', 'comments', 'postcode', 'latitude', 'longitude', 'community board', 'council district', 'census tract', 'bin', 'bbl', 'nta']",bmxf-3rd4,5.0,directory of homeless drop- in centers,1359585577.0
401,Public Safety,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'brooklyn south', '2005', '2006', '2007', '2008', '2009', 'total']",bn89-icuy,27.0,where incidents that led to a complaint took place by precinct - brooklyn 2005 - 2009,1317328964.0
402,Social Services,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'opportunity_id', 'content_id', 'vol_requests', 'event_time', 'title', 'hits', 'summary', 'is_priority', 'category_id', 'category_desc', 'amsl', 'amsl_unit', 'org_title', 'org_content_id', 'addresses_count', 'locality', 'region', 'postalcode', 'primary_loc', 'display_url', 'recurrence_type', 'hours', 'created_date', 'last_modified_date', 'start_date_date', 'end_date_date', 'status', 'latitude', 'longitude', 'community board', 'community council ', 'census tract', 'bin', 'bbl', 'nta']",bquu-z2ht,665.0,nyc service: volunteer opportunities,1317410513.0
403,Housing & Development,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'job_number', 'job_type', 'c_o_issue_date', 'bin_number', 'borough', 'number', 'street', 'block', 'lot', 'postcode', 'pr_dwelling_unit', 'ex_dwelling_unit', 'application_status_raw', 'filing_status_raw', 'item_number', 'issue_type', 'latitude', 'longitude', 'community_board', 'council_district', 'census_tract', 'bin', 'bbl', 'nta', 'location']",bs8b-p36w,82772.0,dob certificate of occupancy,1498850799.0
